frame,marker_id,distance_m,distance_cm,yaw_deg,pitch_deg,roll_deg,roll_deg_original,roll_deg_cleaned,roll_deg_transformed,is_outlier,motion_phase,difference,rmse
637,2,0.2647,26.47,-173.93,-2.03,-167.41,-167.41,-167.41,90.0,False,movement,257.40999999999997,192.1563593708693
638,2,0.2676,26.76,-173.97,-0.41,-169.35,-169.35,-169.35,90.0,False,movement,259.35,192.1563593708693
639,2,0.242,24.2,-174.0,-0.11,-166.68,-166.68,-166.68,90.0,False,movement,256.68,192.1563593708693
640,2,0.2435,24.35,-173.67,0.78,-168.97,-168.97,-168.97,90.0,False,movement,258.97,192.1563593708693
641,2,0.2428,24.28,-173.58,-0.15,-167.39,-167.39,-167.39,90.0,False,movement,257.39,192.1563593708693
643,2,0.2436,24.36,-172.7,1.13,-168.44,-168.44,-168.44,90.0,False,movement,258.44,192.1563593708693
644,2,0.2442,24.42,-172.51,-0.08,-167.55,-167.55,-167.55,90.0,False,movement,257.55,192.1563593708693
645,2,0.2442,24.42,-172.5,1.98,-168.31,-168.31,-168.31,90.0,False,movement,258.31,192.1563593708693
646,2,0.2439,24.39,-172.03,1.68,-167.95,-167.95,-167.95,90.0,False,movement,257.95,192.1563593708693
647,2,0.2442,24.42,-171.82,2.59,-168.83,-168.83,-168.83,90.0,False,movement,258.83000000000004,192.1563593708693
649,2,0.2438,24.38,-172.29,3.08,-168.19,-168.19,-168.19,90.0,False,movement,258.19,192.1563593708693
650,2,0.2446,24.46,-172.02,2.92,-167.95,-167.95,-167.95,90.0,False,movement,257.95,192.1563593708693
651,2,0.2433,24.33,-171.65,3.52,-168.33,-168.33,-168.33,90.0,False,movement,258.33000000000004,192.1563593708693
652,2,0.2435,24.35,-171.43,2.96,-168.12,-168.12,-168.12,90.0,False,movement,258.12,192.1563593708693
653,2,0.2445,24.45,-171.27,4.83,-169.16,-169.16,-169.16,90.0,False,movement,259.15999999999997,192.1563593708693
654,2,0.2443,24.43,-165.91,-40.68,156.3,156.3,156.3,155.0,False,movement,-1.3000000000000114,192.1563593708693
655,2,0.2444,24.44,-165.09,-41.27,155.86,155.86,155.86,155.0,False,movement,-0.8600000000000136,192.1563593708693
656,2,0.2447,24.47,-165.79,-42.09,156.58,156.58,156.58,155.0,False,movement,-1.5800000000000125,192.1563593708693
657,2,0.2447,24.47,-165.24,-42.16,156.33,156.33,156.33,155.0,False,movement,-1.3300000000000125,192.1563593708693
658,2,0.2465,24.65,-165.11,-42.42,156.22,156.22,156.22,155.0,False,movement,-1.2199999999999989,192.1563593708693
659,2,0.246,24.6,-165.01,-43.84,156.1,156.1,156.1,155.0,False,movement,-1.0999999999999943,192.1563593708693
660,2,0.2469,24.69,-164.69,-44.77,156.58,156.58,156.58,155.0,False,movement,-1.5800000000000125,192.1563593708693
662,2,0.2485,24.85,-163.59,-46.52,156.45,156.45,156.45,155.0,False,movement,-1.4499999999999886,192.1563593708693
664,2,0.2487,24.87,-162.97,-48.14,156.31,156.31,156.31,155.0,False,movement,-1.3100000000000023,192.1563593708693
665,2,0.2486,24.86,-162.74,-48.56,155.77,155.77,155.77,155.0,False,movement,-0.7700000000000102,192.1563593708693
666,2,0.2494,24.94,-162.59,-49.14,155.88,155.88,155.88,155.0,False,movement,-0.8799999999999955,192.1563593708693
667,2,0.2486,24.86,-162.66,-49.9,156.04,156.04,156.04,155.0,False,movement,-1.039999999999992,192.1563593708693
668,2,0.2493,24.93,-163.21,-49.54,156.39,156.39,156.39,155.0,False,movement,-1.3899999999999864,192.1563593708693
669,2,0.2489,24.89,-162.43,-50.59,156.06,156.06,156.06,155.0,False,movement,-1.0600000000000023,192.1563593708693
670,2,0.2486,24.86,-162.05,-51.36,155.85,155.85,155.85,155.0,False,movement,-0.8499999999999943,192.1563593708693
671,2,0.2494,24.94,-161.89,-51.13,155.47,155.47,155.47,155.0,False,movement,-0.46999999999999886,192.1563593708693
672,2,0.2494,24.94,-160.81,-52.07,154.61,154.61,154.61,155.0,False,movement,0.38999999999998636,192.1563593708693
673,2,0.2486,24.86,-160.02,-52.44,153.91,153.91,153.91,155.0,False,movement,1.0900000000000034,192.1563593708693
674,2,0.2478,24.78,-160.05,-53.93,154.42,154.42,154.42,155.0,False,movement,0.5800000000000125,192.1563593708693
675,2,0.2495,24.95,-160.98,-54.38,155.45,155.45,155.45,155.0,False,movement,-0.44999999999998863,192.1563593708693
676,2,0.2492,24.92,-160.49,-55.5,154.95,154.95,154.95,155.0,False,movement,0.05000000000001137,192.1563593708693
677,2,0.2494,24.94,-160.33,-56.55,155.53,155.53,155.53,155.0,False,movement,-0.5300000000000011,192.1563593708693
680,2,0.2506,25.06,-160.46,-58.38,155.36,155.36,155.36,155.0,False,movement,-0.36000000000001364,192.1563593708693
681,2,0.2519,25.19,-160.71,-58.53,155.48,155.48,155.48,155.0,False,movement,-0.47999999999998977,192.1563593708693
682,2,0.2509,25.09,-158.81,-59.0,153.64,153.64,153.64,155.0,False,movement,1.3600000000000136,192.1563593708693
690,2,0.2497,24.97,-156.25,-61.07,151.81,151.81,151.81,155.0,False,movement,3.1899999999999977,192.1563593708693
701,2,0.2494,24.94,-158.28,-56.58,153.23,153.23,153.23,155.0,False,movement,1.7700000000000102,192.1563593708693
702,2,0.2484,24.84,-158.66,-56.62,153.47,153.47,153.47,155.0,False,movement,1.5300000000000011,192.1563593708693
703,2,0.2492,24.92,-159.42,-55.91,153.6,153.6,153.6,155.0,False,movement,1.4000000000000057,192.1563593708693
704,2,0.2497,24.97,-159.28,-54.64,153.05,153.05,153.05,155.0,False,movement,1.9499999999999886,192.1563593708693
705,2,0.2481,24.81,-159.26,-55.5,153.76,153.76,153.76,155.0,False,movement,1.240000000000009,192.1563593708693
706,2,0.2488,24.88,-160.31,-54.27,154.0,154.0,154.0,155.0,False,movement,1.0,192.1563593708693
707,2,0.2493,24.93,-160.39,-53.45,153.65,153.65,153.65,155.0,False,movement,1.3499999999999943,192.1563593708693
708,2,0.2479,24.79,-160.32,-53.56,153.9,153.9,153.9,155.0,False,movement,1.0999999999999943,192.1563593708693
709,2,0.2483,24.83,-160.96,-51.05,153.75,153.75,153.75,155.0,False,movement,1.25,192.1563593708693
