frame,shoulder_flex,shoulder_abduct,elbow_flex,wrist_flex,elbow_flex_original,elbow_flex_cleaned,elbow_flex_transformed,is_outlier,motion_phase,difference,rmse
200,65.17340352355284,102.97976283199804,103.42234912992534,134.08891790523936,103.42234912992534,103.42234912992534,90.0,False,endpoint1,-13.422349129925337,25.830802591887156
201,66.1773600933307,102.55261905728716,105.0634580928642,134.6903206649919,105.0634580928642,105.0634580928642,90.0,False,movement,-15.063458092864195,25.830802591887156
202,66.77850376543874,102.56066541693764,106.33762567570416,134.79688543837048,106.33762567570416,106.33762567570416,90.0,False,movement,-16.33762567570416,25.830802591887156
203,66.71052576331479,102.0933234756033,106.51069775969154,134.734371746337,106.51069775969154,106.51069775969154,90.0,False,movement,-16.51069775969154,25.830802591887156
204,66.62635247981736,101.35488829278984,106.50380042999822,135.27880881751827,106.50380042999822,106.50380042999822,90.0,False,movement,-16.503800429998222,25.830802591887156
205,66.51447719942605,100.27430350264058,106.40414186091218,136.2910434986937,106.40414186091218,106.40414186091218,90.0,False,movement,-16.404141860912176,25.830802591887156
206,66.2406964720466,99.2669648715053,107.0696271992621,136.98675510114407,107.0696271992621,107.0696271992621,90.0,False,movement,-17.0696271992621,25.830802591887156
207,65.92640331931797,98.70936362188266,107.1493343187649,136.5274358634138,107.1493343187649,107.1493343187649,90.0,False,movement,-17.1493343187649,25.830802591887156
208,65.90131297130621,98.62957425054935,107.3916822147552,137.25091851276392,107.3916822147552,107.3916822147552,90.0,False,movement,-17.391682214755207,25.830802591887156
209,65.50619823836554,99.03947369627431,107.57586660613327,137.29994687230666,107.57586660613327,107.57586660613327,90.0,False,movement,-17.575866606133275,25.830802591887156
210,64.97142640739708,100.0361006651706,107.86581687763233,137.52846855703024,107.86581687763233,107.86581687763233,90.0,False,movement,-17.865816877632327,25.830802591887156
211,64.56852276489772,100.19803152048476,108.4896190947049,137.62939935582983,108.4896190947049,108.4896190947049,90.0,False,movement,-18.489619094704906,25.830802591887156
212,63.93125387270866,100.21640294336557,109.64163211155076,138.29704461898635,109.64163211155076,109.64163211155076,90.0,False,movement,-19.641632111550763,25.830802591887156
213,63.69888350273009,100.70373257882308,110.19798342672796,137.85957094431657,110.19798342672796,110.19798342672796,90.0,False,movement,-20.19798342672796,25.830802591887156
214,63.70897640729859,100.89278556654052,110.24567230029082,137.50830894764914,110.24567230029082,110.24567230029082,90.0,False,movement,-20.24567230029082,25.830802591887156
215,63.740632163343655,100.95574509763937,110.32330383995738,137.59953933342328,110.32330383995738,110.32330383995738,90.0,False,movement,-20.323303839957376,25.830802591887156
216,63.61183461071781,100.9683431237544,110.4717795515399,137.7850469748864,110.4717795515399,110.4717795515399,90.0,False,movement,-20.471779551539896,25.830802591887156
217,63.78170005015313,101.1639951245952,110.92862500247064,137.54327712670047,110.92862500247064,110.92862500247064,90.0,False,movement,-20.92862500247064,25.830802591887156
218,63.78310186731698,101.55639529252362,111.44192848574876,137.6404793819312,111.44192848574876,111.44192848574876,90.0,False,movement,-21.44192848574876,25.830802591887156
219,63.572791368829165,101.58227880117003,111.4296186956634,137.46802264630344,111.4296186956634,111.4296186956634,90.0,False,movement,-21.429618695663393,25.830802591887156
220,63.66651925192871,101.53530983151232,111.75468030365305,137.5665096731521,111.75468030365305,111.75468030365305,90.0,False,movement,-21.754680303653046,25.830802591887156
221,63.77649287909001,101.48935211620513,111.84987934574158,138.11663923665995,111.84987934574158,111.84987934574158,90.0,False,movement,-21.849879345741584,25.830802591887156
222,63.71575706266612,101.2859992687983,111.9700183195656,138.43290137469637,111.9700183195656,111.9700183195656,90.0,False,movement,-21.970018319565597,25.830802591887156
223,63.54174508949013,101.16880107956342,111.60921205123256,137.63598314969568,111.60921205123256,111.60921205123256,90.0,False,movement,-21.60921205123256,25.830802591887156
224,63.02379889181637,100.7550313199596,110.82460225464844,136.97551075444068,110.82460225464844,110.82460225464844,90.0,False,movement,-20.82460225464844,25.830802591887156
225,63.18175225528236,100.59076411638044,110.98975993206088,137.29274341215228,110.98975993206088,110.98975993206088,90.0,False,movement,-20.989759932060878,25.830802591887156
226,63.15756049772607,100.54104206424644,110.96828411492965,137.28436421721784,110.96828411492965,110.96828411492965,90.0,False,movement,-20.968284114929645,25.830802591887156
227,63.19977509746188,100.63749470575128,111.02701040583878,137.308267003907,111.02701040583878,111.02701040583878,90.0,False,movement,-21.02701040583878,25.830802591887156
228,63.28055692176568,100.7060430911401,111.05350421479828,137.26519488844113,111.05350421479828,111.05350421479828,90.0,False,movement,-21.05350421479828,25.830802591887156
229,63.38741281827975,100.89073526936184,111.08752379203516,137.01571783638985,111.08752379203516,111.08752379203516,90.0,False,movement,-21.087523792035157,25.830802591887156
230,63.6226744540436,100.8767481852862,111.03180107824548,136.8081003880941,111.03180107824548,111.03180107824548,90.0,False,movement,-21.03180107824548,25.830802591887156
231,63.76668481813084,100.78393691765712,111.0298693589364,136.59280647448955,111.0298693589364,111.0298693589364,90.0,False,movement,-21.029869358936395,25.830802591887156
232,63.80269126058099,100.77967463937571,111.0536740744632,136.6255211076737,111.0536740744632,111.0536740744632,90.0,False,movement,-21.053674074463203,25.830802591887156
233,63.84084127919114,100.77104744953546,111.0079642233422,136.58723573452983,111.0079642233422,111.0079642233422,90.0,False,movement,-21.0079642233422,25.830802591887156
