trial,label,result,duration_s,cube_x,cube_y,cube_z,drop_x,drop_y,drop_z,start_x,start_y,start_z,dist_start_to_cube,dist_start_to_drop,phase_approach_s,phase_grip_s,phase_carry_s,phase_place_s,n_obstacles,total_hits,penalty_accumulated_s,adjusted_duration_s
1,Obs-Transport 1,timeout,59.798,0.6357,-0.3032,1.0979,0.4871,-0.3696,1.2052,0.6537,-0.0224,1.04,0.2873,0.419,60.024,0.0,0.0,0.0,0,0,0.0,60.024
2,Obs-Transport 2,timeout,59.897,0.5617,-0.3293,1.206,0.6036,-0.2429,0.8714,0.5815,0.0592,0.6777,0.6561,0.3595,60.015,0.0,0.0,0.0,0,0,0.0,60.015
3,Obs-Transport 3,timeout,59.895,0.5872,-0.1128,1.3124,0.6486,-0.1738,1.2204,0.5815,0.0592,0.6777,0.6576,0.5944,60.005,0.0,0.0,0.0,0,0,0.0,60.005
4,Obs-Transport 4,timeout,59.901,0.7527,-0.0429,1.0419,0.6309,-0.1541,1.3074,0.5815,0.0592,0.6777,0.4152,0.6667,60.018,0.0,0.0,0.0,0,0,0.0,60.018
